trial_number,value,state,lr,base_ch,batch_size
0,2.628667415046948e-05,TrialState.COMPLETE,0.00015917718036895313,32,2
1,3.714273853984196e-05,TrialState.COMPLETE,0.00028806439560959346,32,2
2,2.7207118255319073e-05,TrialState.COMPLETE,0.000314733226669256,32,2
3,4.510476836730959e-05,TrialState.COMPLETE,0.0003198336815120354,24,2
4,3.806092315062415e-05,TrialState.COMPLETE,0.00047722872394978115,32,2
5,0.000634760434157215,TrialState.PRUNED,0.0005667013655135704,24,2
6,0.0010763764968141913,TrialState.PRUNED,0.00027995103360155125,24,2
7,0.0012485560176428408,TrialState.PRUNED,0.00014161101958750887,32,2
