run_name,lr,base_ch,batch_size,epochs,best_epoch,best_val_loss,final_val_mse,final_val_mae,elapsed_min,best_ckpt_path,latest_ckpt_path
wandb_lr3e4_base24_bs2_ep30,0.0003,24,2,30,29,1.8621560471729025e-05,2.1079969901620643e-05,0.002896676030009985,5.966393864154815,/content/drive/MyDrive/rectified_flow_ct2dose/outputs/checkpoints/wandb_lr3e4_base24_bs2_ep30_best.pt,/content/drive/MyDrive/rectified_flow_ct2dose/outputs/checkpoints/wandb_lr3e4_base24_bs2_ep30_latest.pt
wandb_lr3e4_base32_bs2_ep30,0.0003,32,2,30,28,1.9568933799746447e-05,2.5990411966631656e-05,0.003400818547233939,6.224609462420146,/content/drive/MyDrive/rectified_flow_ct2dose/outputs/checkpoints/wandb_lr3e4_base32_bs2_ep30_best.pt,/content/drive/MyDrive/rectified_flow_ct2dose/outputs/checkpoints/wandb_lr3e4_base32_bs2_ep30_latest.pt
wandb_lr5e4_base24_bs2_ep30,0.0005,24,2,30,30,2.128043764969334e-05,2.3786742738593603e-05,0.003295189391821623,5.978474990526835,/content/drive/MyDrive/rectified_flow_ct2dose/outputs/checkpoints/wandb_lr5e4_base24_bs2_ep30_best.pt,/content/drive/MyDrive/rectified_flow_ct2dose/outputs/checkpoints/wandb_lr5e4_base24_bs2_ep30_latest.pt
wandb_lr1e4_base24_bs2_ep30,0.0001,24,2,30,28,2.8774398095265495e-05,3.4892535717517606e-05,0.0036948673613369466,5.969540103276571,/content/drive/MyDrive/rectified_flow_ct2dose/outputs/checkpoints/wandb_lr1e4_base24_bs2_ep30_best.pt,/content/drive/MyDrive/rectified_flow_ct2dose/outputs/checkpoints/wandb_lr1e4_base24_bs2_ep30_latest.pt
