subset,num_cases,mean_delta_weighted_beamaware_vs_t015,mean_delta_high_beamaware_vs_t015,mean_delta_overall_beamaware_vs_t015,mean_delta_core_beamaware_vs_t015,mean_delta_shoulder_beamaware_vs_t015
all_cases,500,1.6261334788396196e-05,0.00021996342786587776,0.0006808137311600149,0.013757022619247437,0.005414364577271044
bone_in_beam,144,2.6672519854603e-05,0.00016619290626193915,0.0006808191198312367,0.02931593358516693,0.009912947836306153
non_bone,356,1.205006891891929e-05,0.00024171330177308887,0.000680811551472779,0.007463530543145169,0.003594712921931
