subset,num_cases,mean_delta_weighted_t010_vs_tuned,mean_delta_weighted_t015_vs_tuned,mean_delta_overall_t010_vs_tuned,mean_delta_overall_t015_vs_tuned,mean_delta_high_t010_vs_tuned,mean_delta_high_t015_vs_tuned
all_cases,500,-1.5313285211959736e-06,-2.089609973154438e-06,7.265685638412833e-05,7.443421124480665e-05,-7.675910415127874e-05,9.260023944079876e-05
bone_in_beam,144,-5.366730079003901e-06,-2.195147746735731e-06,5.6376580485246246e-05,0.00013710144169939062,-0.00020757756364117895,0.00043475165471641556
non_bone,356,2.0069861737569777e-08,-2.0469205366496457e-06,7.924213652300198e-05,4.908566858901988e-05,-2.3843772222779776e-05,-4.5798085839226004e-05
