sample_idx,bone_in_beam_candidate,bone_fraction_in_relevant_band,max_hu_in_relevant_band,beam_slice_idx,beam_peak_y,beam_peak_x,gt_max,dose_sum_slice,relevant_fraction_in_slice,ct_hu_mean_relevant,ct_hu_std_relevant,weighted_t010,weighted_t015,weighted_tuned,overall_t010,overall_t015,overall_tuned,high_t010,high_t015,high_tuned,delta_weighted_t010_vs_tuned,delta_weighted_t015_vs_tuned,delta_overall_t010_vs_tuned,delta_overall_t015_vs_tuned,delta_high_t010_vs_tuned,delta_high_t015_vs_tuned
221,True,0.23076923076923078,1448.14990234375,16,16,0,3.7372336387634277,92.78280639648438,0.2275390625,-17.378637313842773,585.317138671875,0.0002553893718868494,0.00022711372002959251,0.0005752600263804197,0.003578288946300745,0.0041748336516320705,0.003337149042636156,0.011144239455461502,0.014101408421993256,0.010044095106422901,-0.00031987065449357033,-0.0003481463063508272,0.00024113990366458893,0.0008376846089959145,0.001100144349038601,0.0040573133155703545
50,True,0.6176470588235294,1500.0,16,16,0,3.5455868244171143,83.79678344726562,0.19921875,233.4132537841797,517.90576171875,0.0004674325173255056,0.0003983825445175171,0.0003941594040952623,0.0060911462642252445,0.006778922863304615,0.005657920613884926,0.016237402334809303,0.018116958439350128,0.014967230148613453,7.327311323024333e-05,4.223140422254801e-06,0.0004332256503403187,0.0011210022494196892,0.0012701721861958504,0.0031497282907366753
330,True,0.22727272727272727,722.076171875,16,16,0,3.588139772415161,94.50543212890625,0.23046875,-68.94064331054688,473.93609619140625,0.00013350194785743952,0.00023867690470069647,0.0002724357764236629,0.0038935462944209576,0.004239046946167946,0.003635482396930456,0.01002987939864397,0.012250229716300964,0.00885098334401846,-0.00013893382856622338,-3.375887172296643e-05,0.0002580638974905014,0.0006035645492374897,0.0011788960546255112,0.003399246372282505
263,True,0.06521739130434782,711.5662841796875,16,16,0,3.03731369972229,89.88471984863281,0.2158203125,-168.73500061035156,399.068115234375,9.567404049448669e-05,0.00010574634507065639,0.000253479927778244,0.0035667256452143192,0.003401184920221567,0.0037868060171604156,0.0064794039353728294,0.006402927450835705,0.008026773110032082,-0.00015780588728375733,-0.00014773358270758763,-0.00022008037194609642,-0.0003856210969388485,-0.0015473691746592522,-0.0016238456591963768
10,True,0.13725490196078433,798.2279052734375,16,16,0,3.3746283054351807,96.19375610351562,0.2236328125,-27.15399742126465,590.9612426757812,0.00015693412569817156,0.00024751797900535166,0.0002056094672298059,0.004246010910719633,0.004694634582847357,0.0043195211328566074,0.009382339194417,0.012331181205809116,0.010592527687549591,-4.867534153163433e-05,4.1908511775545776e-05,-7.351022213697433e-05,0.00037511344999074936,-0.0012101884931325912,0.0017386535182595253
349,True,0.23076923076923078,1500.0,16,16,0,2.673520803451538,88.31491088867188,0.263671875,-373.34625244140625,635.00634765625,0.00015568436356261373,0.00010272100917063653,0.0001543498510727659,0.004523971118032932,0.004389547742903233,0.004321693442761898,0.009810254909098148,0.00930397491902113,0.00976959802210331,1.3345124898478389e-06,-5.162884190212935e-05,0.00020227767527103424,6.785430014133453e-05,4.0656886994838715e-05,-0.00046562310308218
278,True,0.3333333333333333,1118.5556640625,16,16,0,3.9800233840942383,97.53392028808594,0.224609375,120.91150665283203,204.552734375,6.653014861512929e-05,9.510645031696185e-05,0.0001432918361388147,0.0030119484290480614,0.003420406486839056,0.003265711246058345,0.006125165149569511,0.009086630307137966,0.008588758297264576,-7.67616875236854e-05,-4.818538582185283e-05,-0.00025376281701028347,0.00015469524078071117,-0.0024635931476950645,0.0004978720098733902
144,True,0.14285714285714285,1142.76904296875,16,16,0,2.79909610748291,95.02999877929688,0.228515625,-262.60357666015625,431.697021484375,8.514204091625288e-05,8.904630522010848e-05,0.00012163848441559821,0.0043387399055063725,0.004452196415513754,0.004769329912960529,0.007614725735038519,0.007737127598375082,0.008879345841705799,-3.649644349934533e-05,-3.2592179195489734e-05,-0.0004305900074541569,-0.00031713349744677544,-0.0012646201066672802,-0.001142218243330717
104,True,0.42857142857142855,1500.0,16,16,0,2.515881061553955,73.55064392089844,0.201171875,-239.07278442382812,675.6737670898438,9.794950892683119e-05,0.00010936908074654639,0.00010788031067932025,0.004589870572090149,0.004495212808251381,0.004211205057799816,0.008432675153017044,0.009567567147314548,0.008980621583759785,-9.93080175248906e-06,1.4887700672261417e-06,0.0003786655142903328,0.0002840077504515648,-0.0005479464307427406,0.0005869455635547638
3,True,0.4358974358974359,746.8460693359375,16,16,0,3.8393378257751465,84.6741943359375,0.2001953125,255.94308471679688,401.679443359375,0.0001585458085173741,0.00011330175766488537,0.0001028252809192054,0.003230366390198469,0.0037647366989403963,0.0032071887981146574,0.00865744985640049,0.011286824010312557,0.008163213729858398,5.57205275981687e-05,1.0476476745679975e-05,2.317759208381176e-05,0.0005575479008257389,0.0004942361265420914,0.0031236102804541588
