case_type,sample_idx,best_slice,peak_y,peak_x,gt_max,mse,mae,relative_error_pct,along_mean_pct_error,along_max_pct_error,perp_mean_pct_error,perp_max_pct_error
best,246,16,16,0,3.5527877807617188,3.7022007290943293e-06,0.0013694301014766097,2.9058890342712402,3.117973910112466,7.862259387969971,1.0744684411329217,2.6606056690216064
typical,264,16,16,0,2.1292366981506348,1.1914484275621362e-05,0.0025105399545282125,5.476052284240723,2.712171615825759,8.771160125732422,2.670984806973138,6.712242126464844
worst,50,16,16,0,3.5455868244171143,9.31459289859049e-05,0.005657920613884926,11.858415603637695,3.0564907631453346,8.200811386108398,7.450796632096171,16.53837013244629
