case_type,sample_idx,best_slice,peak_y,peak_x,gt_max,mse,mae,relative_error_pct,along_mean_pct_error,along_max_pct_error,perp_mean_pct_error,perp_max_pct_error
typical,436,16,16,0,2.2637906074523926,1.5669440472265705e-05,0.002748373430222273,5.893406391143799,2.6663693352179094,7.248647689819336,3.756241714581847,9.181541442871094
worst,50,16,16,0,3.5455868244171143,0.00015973742119967937,0.007941384799778461,16.644319534301758,3.8989233830395866,8.033953666687012,12.128823295235634,24.111024856567383
