model,overall_mae,weighted_mse,high_mae,outside_mae,peak_core_mae,peak_shoulder_mae
Tuned,0.0026624220861122,3.7744521527201866e-05,0.0048298583468422,0.0023819436817429,0.0476539895534515,0.0226221684897318
Mixed T0.10,0.0027350591674912,3.621317986198846e-05,0.0047530931120272,0.0024840667007956,0.0508301413059234,0.0209891260652802
Mixed T0.15,0.0027368425806052,3.565402754156821e-05,0.0049224392201285,0.0024407216170802,0.0472580666542053,0.0197134771915152
Shoulder-aware T0.15,0.0026827821671031,2.8146551793724937e-05,0.0041789165872614,0.002488361378666,0.0360505964756011,0.0154436938003636
