model,overall_mse,overall_mae,weighted_mse,high_mse,high_mae,high_rel_err_pct,outside_mse,outside_mae,outside_max_abs_error,outside_p95_abs_error,peak_core_mae,peak_shoulder_mae
mixed_T010_a030_mw3,1.8125987972780423e-05,0.0027350698304362594,3.621293496962608e-05,5.125799147208454e-05,0.004753064902964979,2.7699431433677675,1.4045281613107362e-05,0.0024840820478275417,0.03439506077207625,0.007352668491192162,0.05083076691627503,0.02098888934822753
mixed_T015_a030_mw3,1.7930949257788598e-05,0.0027368471852969377,3.565465351766761e-05,5.241972628664371e-05,0.004922424246557057,2.84397595846653,1.3303496540629566e-05,0.002440728902351111,0.035028313752263784,0.007103929882869124,0.047260475158691403,0.019713837273418904
tuned,1.7016565300309595e-05,0.0026624129740521313,3.774426349082205e-05,5.2099833003012465e-05,0.004829824007116258,2.802524485349655,1.2501971541041713e-05,0.0023819400963839142,0.032495021073147654,0.006932431252207607,0.047654373168945316,0.022622206130065024
