model,overall_mae,weighted_mse,high_mae,outside_mae,outside_max_abs_error,peak_core_mae,peak_shoulder_mae,subset
mixed_T010_a030_mw3,0.0028427590239314465,4.295243295220846e-05,0.0048955839043224435,0.0025517689136904664,0.03611005800000081,0.0498273405763838,0.02283286425194496,bone_in_beam_candidate
mixed_T015_a030_mw3,0.002923483885145591,4.612401528447663e-05,0.005537913122680038,0.002534381434088573,0.036167697864584625,0.0511730561653773,0.02303837886817443,bone_in_beam_candidate
tuned,0.0027863824434462003,4.831916303121236e-05,0.005103161467963623,0.002453123159486697,0.03366624798056566,0.050951693620946675,0.025848885503364727,bone_in_beam_candidate
mixed_T010_a030_mw3,0.0026915101566629255,3.348684589801972e-05,0.004695416767584432,0.00245670309084928,0.03370135402819665,0.051236647233534396,0.020243011859083403,non_bone_candidate
mixed_T015_a030_mw3,0.0026613536887289432,3.1419855499632505e-05,0.004673462453967986,0.0024028469794011268,0.034567439279864345,0.04567785812227913,0.018369078875540262,non_bone_candidate
tuned,0.0026122680201399236,3.346677603628215e-05,0.004719260539807212,0.0023531469472636876,0.03202126636902352,0.04632062557038297,0.021317032450977505,non_bone_candidate
