model,overall_mae,weighted_mse,high_mae,outside_mae,outside_max_abs_error,peak_core_mae,peak_shoulder_mae,subset
mixed_T010_a030_mw3,0.0028427489750255416,4.29524519631741e-05,0.004895618828918992,0.0025517537538285572,0.03610954103836169,0.04982619401481417,0.022833136511811365,bone_in_beam_candidate
mixed_T015_a030_mw3,0.0029234806166237425,4.612346039165358e-05,0.005537942317055745,0.0025343739398522303,0.03616784199968808,0.051169404553042516,0.02303759857507733,bone_in_beam_candidate
shoulder_aware_T015_b0p10,0.0028486423066674937,3.5604637683187924e-05,0.004512094245809648,0.002608904479226718,0.03712542067256032,0.04051822506719165,0.017848282872970838,bone_in_beam_candidate
tuned,0.0027863992161453804,4.832000547594362e-05,0.005103232849958456,0.00245312970784855,0.03366655803337279,0.050951526396804385,0.025848979217698798,bone_in_beam_candidate
mixed_T010_a030_mw3,0.0026914992453425787,3.3487182158138094e-05,0.004695442260250847,0.0024566876681082032,0.03370165284147507,0.05123623234502385,0.02024323419926772,non_bone_candidate
mixed_T015_a030_mw3,0.00266134854356413,3.141920077074717e-05,0.00467347167530411,0.0024028397786556585,0.03456740770122727,0.0456759524479341,0.018368888766703645,non_bone_candidate
shoulder_aware_T015_b0p10,0.002615692672447898,2.512979795079609e-05,0.004044148096163349,0.0024396023716976383,0.03603306644219445,0.03424346580933989,0.014471051029421473,non_bone_candidate
tuned,0.0026122740335145105,3.3466797682767e-05,0.004719279896143531,0.0023531493341047943,0.03202123687016579,0.046320154425803194,0.021316941678419375,non_bone_candidate
