model,overall_mae,weighted_mse,high_mae,outside_mae,outside_max_abs_error,peak_core_mae,peak_shoulder_mae,subset
beam_aware_T015_a030_mw3,0.0036042997364549795,7.279598024625657e-05,0.005704135223317685,0.003289049492903157,0.039044555658215865,0.08048533813820945,0.03295054641138348,bone_in_beam_candidate
mixed_T010_a030_mw3,0.0028427489750255416,4.29524519631741e-05,0.004895618828918992,0.0025517537538285572,0.03610954103836169,0.04982619401481417,0.022833136511811365,bone_in_beam_candidate
mixed_T015_a030_mw3,0.0029234806166237425,4.612346039165358e-05,0.005537942317055745,0.0025343739398522303,0.03616784199968808,0.051169404553042516,0.02303759857507733,bone_in_beam_candidate
tuned,0.0027863992161453804,4.832000547594362e-05,0.005103232849958456,0.00245312970784855,0.03366655803337279,0.050951526396804385,0.025848979217698798,bone_in_beam_candidate
beam_aware_T015_a030_mw3,0.0033421600950369087,4.346926968966645e-05,0.004915184977077199,0.0031446275556998933,0.03658388672773255,0.05313948299107927,0.021963601688634645,non_bone_candidate
mixed_T010_a030_mw3,0.0026914992453425787,3.3487182158138094e-05,0.004695442260250847,0.0024566876681082032,0.03370165284147507,0.05123623234502385,0.02024323419926772,non_bone_candidate
mixed_T015_a030_mw3,0.00266134854356413,3.141920077074717e-05,0.00467347167530411,0.0024028397786556585,0.03456740770122727,0.0456759524479341,0.018368888766703645,non_bone_candidate
tuned,0.0026122740335145105,3.3466797682767e-05,0.004719279896143531,0.0023531493341047943,0.03202123687016579,0.046320154425803194,0.021316941678419375,non_bone_candidate
