sample_idx,best_slice,peak_y,peak_x,gt_max,mse,mae,relative_error_pct,along_mean_pct_error,along_max_pct_error,along_valid_count,along_total_count,along_relevant_threshold,perp_mean_pct_error,perp_max_pct_error,perp_valid_count,perp_total_count,perp_relevant_threshold,model,case_tag
496,16,16,0,1.398719072341919,4.051815267303027e-06,0.0015508650103583932,3.3922903537750244,3.6609907212008594,11.969860089838592,31,32,0.01398719072341919,1.4957089013002713,3.2387120687966737,32,32,0.01398719072341919,tuned,best
496,16,16,0,1.398719072341919,8.488995263178367e-06,0.0019628601148724556,4.293469429016113,6.607054947005879,30.816198322078495,31,32,0.01398719072341919,3.847757590390377,8.758677378695294,32,32,0.01398719072341919,mixed_T010_a030_mw3,best
496,16,16,0,1.398719072341919,8.451854228042066e-06,0.0022045127116143703,4.822048664093018,5.150380914323716,16.474096563806864,31,32,0.01398719072341919,2.6479385217332547,7.389429186666218,32,32,0.01398719072341919,mixed_T015_a030_mw3,best
491,16,16,0,2.0913801193237305,1.2068005162291229e-05,0.0025072298012673855,5.39616584777832,5.287613174421508,14.792814365990377,21,32,0.020913801193237304,4.05079618052277,9.429745467491456,32,32,0.020913801193237304,tuned,typical
491,16,16,0,2.0913801193237305,1.0514378118386958e-05,0.0023507154546678066,5.059309005737305,3.8283417295366826,22.462224527618133,21,32,0.020913801193237304,3.105079514873651,13.415932132670049,32,32,0.020913801193237304,mixed_T010_a030_mw3,typical
491,16,16,0,2.0913801193237305,1.2237331247888505e-05,0.002492260653525591,5.363948822021484,3.667976614287971,9.480305715857435,21,32,0.020913801193237304,2.0390744800977023,13.920334313006885,32,32,0.020913801193237304,mixed_T015_a030_mw3,typical
221,16,16,0,3.7372336387634277,5.4294356232276186e-05,0.003337149042636156,7.069258689880371,5.511676043837389,12.383209068217877,19,32,0.03737233638763428,8.002837188901875,19.669501882761246,32,32,0.03737233638763428,tuned,worst
221,16,16,0,3.7372336387634277,4.5304957893677056e-05,0.003578288946300745,7.580078125,6.630299388922622,13.953877988344772,19,32,0.03737233638763428,5.144265506514346,14.178045006061513,32,32,0.03737233638763428,mixed_T010_a030_mw3,worst
221,16,16,0,3.7372336387634277,5.548884655581787e-05,0.0041748336516320705,8.843770027160645,7.549876790654848,20.846212925233374,19,32,0.03737233638763428,8.361738410654677,24.19387853960829,32,32,0.03737233638763428,mixed_T015_a030_mw3,worst
