model,overall_mae,weighted_mse,high_mae,outside_mae,outside_max_abs_error,peak_core_mae,peak_shoulder_mae
tuned,0.002662,0.000038,0.004830,0.002382,0.032495,0.047654,0.022622
mixed_T010_a030_mw3,0.002735,0.000036,0.004753,0.002484,0.034395,0.050831,0.020989
mixed_T015_a030_mw3,0.002737,0.000036,0.004922,0.002441,0.035028,0.047260,0.019714
