model,overall_mse,overall_mae,weighted_mse,high_mse,high_mae,high_rel_err_pct,outside_mse,outside_mae,outside_max_abs_error,outside_p95_abs_error,peak_core_mae,peak_shoulder_mae
beam_aware_T015_a030_mw3,2.6001300842835917e-05,0.003417656311765313,5.191536232996441e-05,5.8993673621444035e-05,0.005142402647994458,2.9836688458919527,2.15392357968085e-05,0.0031862210736144335,0.037292559379711744,0.009009437534958125,0.06101508927345276,0.02512784176878631
mixed_T010_a030_mw3,1.8125963428246906e-05,0.002735059167491272,3.621317986198846e-05,5.1258636302009105e-05,0.004753093112027273,2.7699586107730867,1.4045182392692368e-05,0.0024840667007956655,0.034395124642178414,0.007352566470392049,0.05083014130592346,0.02098912606528029
mixed_T015_a030_mw3,1.793089388320368e-05,0.0027368425806052984,3.565402754156821e-05,5.241955735891679e-05,0.004922439220128581,2.843983304619789,1.3303463401825865e-05,0.0024407216170802713,0.035028332779183984,0.007104050219524652,0.04725806665420532,0.019713477191515266
tuned,1.701665351220072e-05,0.0026624220861122014,3.7744521527201866e-05,5.2099856658969656e-05,0.00482985834684223,2.802542056322098,1.2502014761594182e-05,0.002381943681742996,0.032495089365169406,0.006932492662686854,0.047653989553451535,0.022622168489731847
