case_tag,sample_idx,tuned_mse,mixed_mse,delta_mse,tuned_mae,mixed_mae,delta_mae,tuned_rel_err_pct,mixed_rel_err_pct,delta_rel_err_pct,tuned_along_mean_pct,mixed_along_mean_pct,delta_along_mean_pct,tuned_perp_mean_pct,mixed_perp_mean_pct,delta_perp_mean_pct
best,496,4.051815267303027e-06,4.520369202509755e-06,4.6855393520672806e-07,0.0015508650103583932,0.0015890039503574371,3.813893999904394e-05,3.3922903537750244,3.4757137298583984,0.08342337608337402,3.6609907212008594,4.429760498763578,0.7687697775627185,1.4957089013002713,2.4925103597305593,0.996801458430288
typical,491,1.2068005162291229e-05,1.0052085599454585e-05,-2.0159195628366433e-06,0.0025072298012673855,0.0022664249408990145,-0.000240804860368371,5.39616584777832,4.877895832061768,-0.5182700157165527,5.287613174421508,2.774812376192115,-2.5128007982293927,4.05079618052277,1.6145637540034603,-2.43623242651931
worst,221,5.4294356232276186e-05,6.139773176982999e-05,7.103375537553802e-06,0.003337149042636156,0.004014636855572462,0.000677487812936306,7.069258689880371,8.504417419433594,1.4351587295532227,5.511676043837389,4.885306322835824,-0.6263697210015655,8.002837188901875,7.649297029894805,-0.35354015900707036
