model,overall_mae,weighted_mse,high_mae,outside_mae,outside_max_abs_error,peak_core_mae,peak_shoulder_mae
tuned,0.002662412974052083,3.7744263490820034e-05,0.004829824007116207,0.002381940096383868,0.03249502107314761,0.04765437316894527,0.022622206130064975
mixed_T010_a030_mw3,0.0027350698304362104,3.621293496962464e-05,0.0047530649029649315,0.0024840820478274923,0.0343950607720762,0.05083076691627498,0.020988889348227485
mixed_T015_a030_mw3,0.002736847185296888,3.5654653517665576e-05,0.004922424246557005,0.0024407289023510637,0.03502831375226374,0.04726047515869136,0.019713837273418855
ct_only_routed_system,0.0027379021565429387,3.679336362983884e-05,0.004904740468133191,0.0024570945817976703,0.03439270103909071,0.050253891468048054,0.020970452437642912
