subset,num_cases,mean_delta_weighted_shoulder_vs_t015,mean_delta_high_shoulder_vs_t015,mean_delta_overall_shoulder_vs_t015,mean_delta_core_shoulder_vs_t015,mean_delta_shoulder_shoulder_vs_t015
all_cases,500,-7.507475747843273e-06,-0.0007435226328670979,-5.406041350215674e-05,-0.011207470178604125,-0.004269783391151577
bone_in_beam,144,-1.0518822708465652e-05,-0.0010258480712460976,-7.483830995624885e-05,-0.010651179485850863,-0.0051893157021064935
non_bone,356,-6.2894028199510745e-06,-0.000629323579140761,-4.565587111623183e-05,-0.01143248663859421,-0.003897837737282173
