routing_metric,overall_mae,weighted_mse,high_mae,outside_mae,outside_max_abs_error,peak_core_mae,peak_shoulder_mae
overall_mae,0.002499482234241392,2.925690588744961e-05,0.004175387708935837,0.002280370353488203,0.03334005500562485,0.03540186309814449,0.017606598718091795
weighted_mse,0.0025575736106838534,2.5467659912464374e-05,0.0041255336292087535,0.0023488959539681195,0.033696682916954115,0.026388184547424275,0.014035145555157167
high_mae,0.002557557587511788,2.8226953399097758e-05,0.003972560832276891,0.002368460441706654,0.034116613870486576,0.03366421937942501,0.01600665660388763
outside_mae,0.002524635968264144,3.365853534978537e-05,0.004532583373133042,0.0022633834125007947,0.03303180849738415,0.04416996216773982,0.020480423513799854
outside_max_abs_error,0.0026738329199142248,3.5897559681869615e-05,0.00476704440964381,0.0024004829081240545,0.02886767729185517,0.046756611108779864,0.020887618587352285
peak_core_mae,0.002638481685193206,2.7454912854408656e-05,0.0043340721316635095,0.0024137847889214286,0.03351898282952601,0.020136489152908284,0.015144055535551114
peak_shoulder_mae,0.002629787326324682,2.648078876791179e-05,0.00428017453290517,0.002408820435637562,0.03420523983612652,0.027950852394103963,0.013226378022227389
