sample_idx,case_id,axis,base_mean_pct,phase9d_mean_pct,phase9g_mean_pct,improvement_abs,improvement_pct,base_max_pct,phase9d_max_pct,phase9g_max_pct,valid_count,threshold,display_score
213,62242424098194756750821789925294112700,y,17.696478569655756,1.4084704095121574,1.3938966025027855,16.30258196715297,92.12331082577504,19.980902214764136,8.059568409601829,8.059568409601829,32,0.030184903144836427,18.661631300724242
451,62242424098194756750821789925294112700,z,17.88751403911876,1.5951316021795292,1.5519167627709636,16.335597276347794,91.3240220608105,21.373939530945414,7.004013093582037,7.004013093582037,32,0.029331152439117433,18.604786810137387
156,62242424098194756750821789925294112700,z,17.045362990408332,1.0551687179513967,1.0715712380950433,15.97379175231329,93.71341491484004,19.282944509341977,6.238361104249522,6.238361104249522,32,0.03506710529327393,18.476917772303256
213,62242424098194756750821789925294112700,z,17.39753400665042,1.350366163241135,1.3347762756355463,16.062757731014873,92.3277845908616,19.7104861748496,8.348415721718466,8.348415721718466,32,0.030184903144836427,18.421305625285775
588,62242424098194756750821789925294112700,y,17.157207636244184,1.224214565445046,1.181343915964867,15.975863720279317,93.1145909618721,19.363224573219036,6.866671941331058,6.866671941331058,32,0.027002296447753905,18.413436928742293
481,62242424098194756750821789925294112700,y,17.132608516506785,1.3008195573904824,1.2691831709792352,15.86342534552755,92.59200267714274,19.45925749269357,6.26606073382498,6.26606073382498,32,0.029571893215179446,18.23142924476914
481,62242424098194756750821789925294112700,z,18.290966407849663,2.0775021252009056,2.0458638079655596,16.245102599884103,88.81489489823208,23.40452932644488,9.68511092580536,9.68511092580536,32,0.029571893215179446,18.20434970508738
247,62242424098194756750821789925294112700,y,16.59885784816004,0.8608207356365926,0.9028974773907623,15.695960370769278,94.56048425074682,18.87069387685006,6.477819550458098,6.477819550458098,32,0.032169058322906494,18.185789047993282
234,62242424098194756750821789925294112700,y,16.760245875151227,1.0354389608438535,1.0779170969191028,15.682328778232124,93.56860803650807,19.764829676974067,6.496233517390322,6.496233517390322,32,0.03319300651550293,18.13792783681548
156,62242424098194756750821789925294112700,y,17.10916703108708,1.268948150846214,1.3097524957650388,15.79941453532204,92.34473248978331,20.65522674382571,6.710775480952684,6.710775480952684,32,0.03506710529327393,18.133475218161323
535,62242424098194756750821789925294112700,y,17.18588461355737,1.424567984104282,1.3960346982107457,15.789849915346624,91.8768527847723,21.641883581338572,6.883903935356293,6.883903935356293,32,0.033111965656280516,18.07070658372217
96,62242424098194756750821789925294112700,y,17.510245324008377,1.6886198255085723,1.6442153365547676,15.86602998745361,90.60998109854364,20.637545279445153,5.838970561721379,5.838970561721379,32,0.029682509899139405,18.00940528363879
346,62242424098194756750821789925294112700,y,17.534349739306144,1.6406962861995718,1.6716621929389845,15.862687546367159,90.46635759615131,20.16390186399924,9.243864851628073,9.243864851628073,32,0.0319816255569458,17.98909336255884
234,62242424098194756750821789925294112700,z,16.97903911463594,1.2996331456922892,1.343562484318423,15.635476630317516,92.08693445809331,20.60539229533456,6.915658551860727,6.915658551860727,32,0.03319300651550293,17.92466063427409
346,62242424098194756750821789925294112700,z,17.050888455751497,1.4346372248315493,1.4651821082920153,15.585706347459482,91.40700426705043,19.614923894546788,7.20708629140595,7.20708629140595,32,0.0319816255569458,17.794453034603194
556,62242424098194756750821789925294112700,z,16.444803208705686,1.0668788225901809,1.108447438040539,15.336355770665147,93.25958825229542,20.302129296691835,4.3117395425480325,4.3117395425480325,32,0.03292371034622192,17.721740673440596
416,62242424098194756750821789925294112700,z,17.98268716859485,2.186517603073138,2.1749757985684464,15.807711370026404,87.90516797090613,21.27213612589066,9.100403173981073,9.100403173981073,32,0.03185043096542359,17.623882596389297
109,62242424098194756750821789925294112700,y,16.229876584242497,0.9980801182798336,1.0401287212521977,15.189747862990298,93.59127147262978,19.94463747738318,4.9084713050760955,4.9084713050760955,32,0.027816343307495116,17.594132809687526
247,62242424098194756750821789925294112700,z,16.9309087770617,1.4590912003016618,1.5011373812047333,15.429771395856966,91.1337459194637,20.53576298748602,8.17350887050006,8.17350887050006,32,0.032169058322906494,17.59355467651267
390,62242424098194756750821789925294112700,y,17.242510282590366,1.72960617605129,1.7186712082190323,15.523839074371335,90.03236078126282,19.800754689442165,7.08361409704751,7.08361409704751,32,0.03475143432617188,17.571212210595615
306,62242424098194756750821789925294112700,z,16.58842636709206,1.3324845740186646,1.2899342227673776,15.298492144324683,92.22389029890908,19.12442018967217,4.906129355474669,4.906129355474669,32,0.031691405773162845,17.56930543231296
295,62242424098194756750821789925294112700,y,16.27663753016126,1.1252070277592279,1.1089011289182347,15.167736401243026,93.18716082371367,18.15495626709236,7.355724341917057,7.355724341917057,32,0.032738866806030276,17.52755618407854
420,62242424098194756750821789925294112700,y,18.401003805017755,2.5477901669445897,2.5050146138900815,15.895989191127674,86.38653277249122,21.073412784376956,9.183289472652296,9.183289472652296,32,0.027722535133361818,17.527378801462774
556,62242424098194756750821789925294112700,y,16.164764444957086,1.0296176329388826,1.0711565422194258,15.093607902737661,93.3735096777674,19.417483536219414,6.699884887675723,6.699884887675723,32,0.03292371034622192,17.464955162816654
